gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000003,0.171568715207062,-1.02604541037965,3.80550342492604,-0.269621465496276,0.78745148465844,NA
FBgn0000008,95.1440789963134,-0.00215142369151577,0.223883804796581,-0.00960955480219096,0.992332802590021,0.996927101168216
FBgn0000014,1.05657219346166,0.496735568520549,2.16026425882569,0.229942039031175,0.818136809002615,NA
FBgn0000015,0.846723274987709,1.88276170255518,2.10643223513335,0.893815462540142,0.371420634660591,NA
FBgn0000017,4352.5928987935,0.240025230003058,0.126024321500873,1.9045945032237,0.0568328016705977,0.282361133542397
FBgn0000018,418.614930505122,0.104799112236751,0.148280289954742,0.706763604716026,0.479713395556423,0.823907261910051
FBgn0000022,0.0796749105101127,0.719763685204581,3.81458895662518,0.188687088802712,0.850338071459213,NA
FBgn0000024,6.40628919476961,-0.210807084308742,0.690348536679454,-0.305363266680792,0.760089495463998,NA
FBgn0000028,0.438900024085016,-1.41421471087203,2.77952373392208,-0.508797494193901,0.610894176010255,NA
FBgn0000032,989.730032286706,0.0919050485188448,0.147697433729696,0.622252169167965,0.533776066993727,0.849773949041468
FBgn0000036,0.589596332729872,0.065449220999492,2.30477082973031,0.0283972793109111,0.977345294123063,NA
FBgn0000037,14.0948138653578,-0.463068060225233,0.491402582871776,-0.942339491825715,0.346018855310588,0.740909424427586
FBgn0000038,0,NA,NA,NA,NA,NA
FBgn0000039,0.438900024085016,-1.41421471087203,2.77952373392208,-0.508797494193901,0.610894176010255,NA
FBgn0000042,82207.7246355838,-0.314524848355378,0.140541527811219,-2.23794954597235,0.0252243455150438,0.164531526427672
FBgn0000043,31162.0800981548,-0.619578732154907,0.123317574065912,-5.02425333005454,5.05394902943762e-07,1.72393515459054e-05
FBgn0000044,27.0142162829088,-0.414972810168265,0.414720947500233,-1.00060730635757,0.317016696388106,0.719312526748014
FBgn0000045,6.49768786824646,-0.152661935231847,0.713899930327953,-0.213842204973626,0.830670111319552,NA
FBgn0000046,23.6865655871929,-0.604238547674789,0.461037057286543,-1.31060733215474,0.189990460779034,0.56901425155232
FBgn0000047,9.27446768376142,-0.682066956506215,0.658141000466999,-1.03635384518247,0.300037094437426,0.702842678140696
FBgn0000052,2342.87838063352,0.135495999150204,0.13669670049133,0.99121631073164,0.321579967749883,0.721371475706733
FBgn0000053,2100.27876868186,-0.296060124559108,0.137257340630194,-2.15697115505661,0.0310079120146528,0.189346186132029
FBgn0000054,654.288209497534,0.119920698613136,0.11849631428235,1.01202049480958,0.311528254252086,0.713127135966037
FBgn0000055,0.0873436769465381,-0.900294226591479,3.81016488296462,-0.236287471604372,0.813209607942473,NA
FBgn0000056,0,NA,NA,NA,NA,NA
FBgn0000057,682.648317882294,0.0235498507916272,0.121581340918375,0.193696258107876,0.846413721955036,0.963157296464076
FBgn0000061,1.57835265432906,-0.310106426772753,1.4800572790012,-0.20952326046599,0.834039779109193,NA
FBgn0000063,404.771774959063,-0.205592739605628,0.129916344876579,-1.58250095321679,0.113535254882011,0.430327914018456
FBgn0000064,7917.16080656924,-0.299544253664893,0.103456682448213,-2.8953591645937,0.00378724930556562,0.0392334605461089
FBgn0000071,342.2384071951,-2.67958365080848,0.182611754709,-14.6736646558077,9.50687311126774e-49,8.79174498945348e-46
FBgn0000075,2.0524421521127,0.414316618363746,1.20415946994944,0.344071220385074,0.730792725826065,NA
FBgn0000077,224.199083286086,0.0559650588734749,0.156728955649481,0.357081808154447,0.721030562924029,0.927123162040635
FBgn0000078,29.0157817140274,1.02026003035894,0.397263629102985,2.56821907573737,0.0102222529989774,0.0861131697474581
FBgn0000079,159.515293800957,1.06709582156375,0.354053870642535,3.0139363245124,0.00257881924467908,0.0289265668105983
FBgn0000083,5442.63170454361,0.00828809271699106,0.13445090289673,0.0616440093627117,0.950846329159359,0.989665124742212
FBgn0000084,1695.91002088768,0.148623275155773,0.170432736733883,0.872034786297171,0.383189400601985,0.76500009143927
